"","�..Movie.Name","Release.Date","Opening.Day","Opening.Weekend","End.of.Week.1","Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.","�..imdbId","Column1","releaseYear","releaseDate","genre","writers","actors","directors","sequel","FirstWeekIMDBRating"
"173","Diary of a Butterfly","02-Mar-12","0N.A","0N.A","0.05","0.06","tt1814683","#N/A",2012,"02-Mar-12","Drama","N/A","Nassar Abdulla | Rati Agnihotri | Udita Goswami | Sofia Hayat","Vinod Mukhi","0",1
"174","Dil Bole Hadippa!","18-09-2009","3.42","11.82","17.59","23.35","tt1202540","#N/A",2009,"18-Sep-09","Comedy | Drama | Sport","Aparajita | Jaya","Shahid Kapoor | Rani Mukerji | Anupam Kher | Dalip Tahil","Anurag Singh","0",2
"175","Dil Chahta Hai","10-Aug-01","0.9","2.77","5.73","20.02","tt0292490","#N/A",2001,"24-Jul-01","Comedy | Drama","Farhan Akhtar (story) | Kassim Jagmagia (story)","Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta","Farhan Akhtar","0",4
"176","Dil Diya Hai","08-Sep-06","0.51","1.44","2.06","2.31","tt0814082","#N/A",2006,"08-Sep-06","Drama | Romance | Thriller","Mudassar Aziz (screenplay) | Aditya Datt | Vinay Mudgil (screenplay) | Neeraj Pathak (screenplay) | Sameer (lyrics)","Emraan Hashmi | Ashmit Patel | Geeta Basra | Mithun Chakraborty","Aditya Datt","0",1
"177","Dil Hai Tumhaara","06-Sep-02","0.76","2.34","4.11","8.69","tt0328998","#N/A",2002,"06-Sep-02","Drama | Family | Romance","Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story) | Kundan Shah (screenplay) | Subrat Sinha (dialogue)","Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill","Kundan Shah","0",3
"178","Dil Ka Rishta","17-01-2003","0.56","1.76","2.89","5.53","tt0330217","#N/A",2003,"17-Jan-03","Romance","Shabbir Boxwala | Vrinda Rai (story) | Naeem Sha (dialogue)","Arjun Rampal | Aishwarya Rai Bachchan | Priyanshu Chatterjee | Rakhee Gulzar","Naresh Malhotra","0",2
"179","Dil Kabaddi","05-Dec-08","0.6","2.14","3.27","3.84","tt1218345","#N/A",2008,"05-Dec-08","Comedy | Drama","Vivek Anand | Anil Senior | Lezlie George Sparkx","Irrfan Khan | Rahul Bose | Rahul Khanna | Konkona Sen Sharma","Anil Senior","0",2
"180","Dil Toh Baccha Hai Ji","28-01-2011","3.7","15","21.13","28.91","tt1727496","#N/A",2011,"27-Jan-11","Comedy | Drama | Romance","Madhur Bhandarkar (story) | Sanjay Chhel (dialogue) | Kumaar (lyrics) | Neelesh Misra (lyrics) | Anil Pandey (story) | Sayeed Qadri (lyrics) | Neeraj Udhwani (screenplay) | Neeraj Udhwani (story)","Ajay Devgn | Emraan Hashmi | Omi Vaidya | Shazahn Padamsee","Madhur Bhandarkar","0",2
"181","Dil Vil Pyar Vyar","18-Oct-02","0.32","1","1.58","2.37","tt0335044","#N/A",2002,"18-Oct-02","Romance","Sanjeev Puri (dialogue) | Sujit Sen (screenplay) | Vivek Vaswani (story)","Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar","Anant Mahadevan","0",2
"182","Dishkiyaoon","28-Mar-14","1.03","3.5","4.97","5.23","tt3539966","#N/A",2014,"28-Mar-14","Action | Thriller","Sanamjit Singh Talwar","Harman Baweja | Harsh Chhaya | Sunny Deol | Rajit Kapoor","Sanamjit Singh Talwar","0",1
"183","Do Dooni Chaar","08-10-2010","N.A.","N.A.","N.A.","4.32","tt1714832","#N/A",2010,"08-Oct-10","Comedy | Drama","Habib Faisal (screenplay) | Rahil Qazi (screenplay)","Rishi Kapoor | Neetu Singh | Aditi Vasudev | Archit Krishna","Habib Faisal","0",2
"184","Do Knot Disturb","02-10-2009","3.63","9.22","13","16.93","tt1343362","#N/A",2009,"02-Oct-09","Comedy | Drama","Yunus Sajawal (screenplay)","Govinda | Sushmita Sen | Ritesh Deshmukh | Lara Dutta","David Dhawan","0",2
"185","Don 2","23-12-2011","15.3","48.39","75.51","106.71","tt1285241","#N/A",2011,"23-Dec-11","Action | Crime | Drama","Farhan Akhtar (dialogue) | Farhan Akhtar (story) | Javed Akhtar (characters) | Salim Khan (characters) | Ameet Mehta (screenplay) | Ameet Mehta (story)","Shah Rukh Khan | Priyanka Chopra | Hrithik Roshan | Om Puri","Farhan Akhtar","1",6
"186","Dor","22-Sep-06","0.14","0.51","0.9","2.7","tt0824316","#N/A",2006,"22-Sep-06","Drama","Nagesh Kukunoor (screenplay) | Nagesh Kukunoor (story) | Mir Ali Husain (story) | T.A. Razak","Ayesha Takia | Shreyas Talpade | Gul Panag | Girish Karnad","Nagesh Kukunoor","0",2
"187","Dostana","14-Nov-08","5.29","17.53","26.74","44.38","tt1185420","#N/A",2008,"14-Nov-08","Comedy | Drama | Romance","Anvita Dutt Guptan (dialogue script) | Tarun Mansukhani (first story)","Abhishek Bachchan | John Abraham | Priyanka Chopra | Kiron Kher","Tarun Mansukhani","0",4
"188","Drona","02-Oct-08","1.79","4","7.67","8.97","tt1060249","#N/A",2008,"02-Oct-08","Action | Adventure | Drama","Goldie Behl | Rohini Killough (screenplay) | Vaibhav Modi (lyrics) | Jaydeep Sarkar (screenplay)","Jayshree Arora | Veer Arya | Abhishek Bachchan | Jaya Bhaduri","Goldie Behl","0",1
"189","Dulha Mil Gaya","08-01-2010","0N.A","0N.A","0N.A","4.15","tt1182884","#N/A",2010,"08-Jan-10","Comedy | Drama","Mudassar Aziz (story) | Mudassar Aziz | Neeraj Udhwani (script associate) | Vivek Vaswani (story)","Sushmita Sen | Fardeen Khan | Ishita Sharma | Shah Rukh Khan","Mudassar Aziz","0",1
"190","Dum","24-01-2003","0.53","1.59","2.76","5.03","tt0314006","#N/A",2003,"24-Jan-03","Crime","Mehran (dialogue) | Mehran (screenplay) | Eeshwar Nivas (screenplay) | Bunty Soorma (story)","Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi","Eeshwar Nivas","0",2
"191","Dum Maaro Dum","22-04-2011","5.4","16.5","23.8","31.74","tt1618430","#N/A",2011,"22-Apr-11","Action | Crime | Drama","Charudutt Acharya (dialogue) | Purva Naresh (dialogue) | Shridhar Raghavan (dialogue) | Shridhar Raghavan","Abhishek Bachchan | Bipasha Basu | Rana Daggubati | Prateik","Rohan Sippy","0",2
"192","Dus","08-07-2005","2.92","8.22","12.82","23.29","tt0415768","#N/A",2005,"08-Jul-05","Action | Crime | Thriller","Anubhav Sinha (dialogue) | Vinay | Yash","Sanjay Dutt | Sunil Shetty | Abhishek Bachchan | Zayed Khan","Anubhav Sinha","0",4
"193","Dus Kahaniyaan","07-Dec-07","1.2","4.02","5.98","7.78","tt0823451","#N/A",2007,"07-Dec-07","Adventure | Crime | Drama","Sanjay Gupta (screenplay) | S. Farhan (dialogue) | Hansal Mehta (screenplay) | Virag Mishra (screenplay) | Kartar Singh Duggal (story) | Meghna Gulzar (screenplay) | Sanjay Gupta (story) | Sudipto Chattopadhyay (screenplay) | Javed Siddiqui (dialogue) | Rajiv Gopalkrishnan (story) | S. Farhan (dialogue) | Kamlesh Pandey (screenplay) | S. Farhan (screenplay) | Shivani Tibrewala (story) | Sanjay Gupta (screenplay","Arbaaz Khan | Mandira Bedi | Sudhanshu Pandey | Jimmy Shergill","Jasmeet Dhodhi | Meghna Gulzar | Sanjay Gupta | Apoorva Lakhia | Hansal Mehta | Rohit Roy","0",1
"194","Dus Tola","22-10-2010","N.A.","N.A.","N.A.","0.11","tt1740670","#N/A",2010,"22-Oct-10","Comedy | Drama","Raghunath Paleri (story) | Sunil Saigal (dialogues)","Manoj Bajpayee | Aarti Chhabria | Dilip Prabhavalkar | Govind Namdeo","Ajay Varma","0",1
"195","Ebn-e-Batuta","04-Apr-14","N.A.","N.A.","0.01","0.01","tt3498078","#N/A",2014,"14-Apr-14","Sci-Fi","Abhishek Bhola (dialogue) | Varun Middha (dialogue) | Varun Middha (screenplay) | Varun Middha (story)","Omkar Das Manikpuri | Rajeev Verma | Dev Gohar | Satya Khare","Varun Middha","0",1
"196","Ek Ajnabee","09-12-2005","1.1","3.12","4.68","6.94","tt0457875","#N/A",2005,"09-Dec-05","Action | Adventure | Crime","Apoorva Lakhia (screenplay) | Manoj Tyagi (screenplay) | Manoj Tyagi (dialogue)","Amitabh Bachchan | Arjun Rampal | Perizaad Zorabian | Rucha Vaidya","Apoorva Lakhia","0",2
"197","Ek Chhotisi Love Story","06-Sep-02","0.35","0.98","1.73","4.84","tt0331479","#N/A",2002,"06-Sep-02","Comedy | Drama | Fantasy","Pankaj Kapoor","Saroj Bhargava | Manisha Koirala | Aditya Seal | Ranvir Shorey","Shashilal K. Nair","0",6
"198","Ek Khiladi Ek Haseena","18-11-2005","0.98","2.68","3.94","4.74","tt0461209","#N/A",2005,"18-Nov-05","Comedy | Crime | Thriller","Suparn Verma (story)","Fardeen Khan | Koena Mitra | Kay Kay Menon | Rakhi Sawant","Suparn Verma","0",2
"199","Ek Main Aur Ekk Tu","10-Feb-12","5.25","21.25","32.75","39.75","tt1703958","#N/A",2012,"10-Feb-12","Comedy | Drama | Romance","Shakun Batra | Ayesha DeVitre","Kareena Kapoor | Boman Irani | Imran Khan | Ratna Pathak","Shakun Batra","0",4
"200","Ek Tha Tiger","15-Aug-12","32.93","100.16","154.21","198.78","tt2016894","#N/A",2012,"15-Aug-12","Action | Romance | Thriller","Kabir Khan (dialogue) | Kabir Khan (screenplay) | Neelesh Misra (dialogue) | Neelesh Misra (screenplay)","Salman Khan | Katrina Kaif | Ranvir Shorey | Girish Karnad","Kabir Khan","0",8
"201","Ek Thi Daayan","19-Apr-13","6.24","18.07","25.8","25.8","tt2406676","#N/A",2013,"18-Apr-13","Horror | Romance | Thriller","Vishal Bhardwaj (dialogue) | Vishal Bhardwaj (story) | Matthew Robbins (script collaborator) | Mukul Sharma (story)","Emraan Hashmi | Konkona Sen Sharma | Kalki Koechlin | Huma Qureshi","Kannan Iyer","0",3
"202","Ekk Deewana Tha","17-Feb-12","1.03","3.56","5.94","5.97","tt2126282","#N/A",2012,"17-Feb-12","Romance","Manu Rishi Chadha (dialogue) | Meghana Karthik (subtitles) | Gautham Menon (story) | Laju Nanwani","Prateik | Amy Jackson | Sachin Khedekar | Manu Rishi Chadha","Gautham Menon","0",2
"203","Ekkees Toppon Ki Salaami","10-Oct-14","0.22","0.83","1.4","1.58","tt3847072","#N/A",2014,"10-Oct-14","Comedy","Rahil Qazi (screenplay) | Rahil Qazi (story) | Rahil Qazi","Anupam Kher | Neha Dhupia | Divyendu Sharma | Manu Rishi Chadha","Ravindra Gautam","0",1
"204","Elaan","14-01-2005","1.16","3.06","4.65","7.52","tt0416712","#N/A",2005,"14-Jan-05","Action","Robin Bhatt | Vikram Bhatt","Arjun Rampal | Ameesha Patel | John Abraham | Lara Dutta","Vikram Bhatt","0",1
"205","English Vinglish","05-Oct-12","2.51","13.06","21","34.86","tt2181931","#N/A",2012,"05-Oct-12","Comedy | Drama | Family","Gauri Shinde","Sridevi | Adil Hussain | Mehdi Nebbou | Priya Anand","Gauri Shinde","0",5
"206","Entertainment","08-Aug-14","11.16","36.69","56.5","72.02","tt2978626","#N/A",2014,"08-Aug-14","Comedy","Farhad (screenplay) | Sajid (screenplay) | K. Subhash (story)","Akshay Kumar | Tamannaah Bhatia | Johnny Lever | Prakash Raj","Farhad | Sajid","0",2
"207","F.A.L.T.U","01-04-2011","4.4","13","17.25","24.57","tt1667076","#N/A",2011,"01-Apr-11","Comedy | Drama","Vipul Binjola (additional dialogue) | Tushar Hiranandani (screenplay) | Aakash Kaushik (additional dialogue) | Mayur Puri (additional dialogue) | Mayur Puri (screenplay) | Sameer (lyrics) | Sameer Sharma (additional dialogue) | Rishi Virmani (additional dialogue)","Ritesh Deshmukh | Jacky Bhagnani | Puja Gupta | Chandan Roy Sanyal","Remo","0",4
"208","Fanaa","26-May-06","3.96","11.74","20.32","51.87","tt0439662","#N/A",2006,"26-May-06","Drama | Musical | Romance","Shibani Bathija (screenplay) | Shibani Bathija (story) | Shibani Bathija","Aamir Khan | Kajol | Rishi Kapoor | Tabu","Kunal Kohli","0",7
"209","Farz","12-Jan-01","1.07","3.08","5.43","11.27","tt0272607","#N/A",2001,"12-Jan-01","Action","N/A","Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri","Raj Kanwar","0",4
"210","Fashion","29-Oct-08","2.44","6.78","14.4","26.46","tt0964516","#N/A",2008,"29-Oct-08","Drama | Romance","Ajay Monga (story) | Madhur Bhandarkar (story) | Niranjan Iyengar (dialogue) | Anuradha Tiwari (story) | Sandeep Nath (lyrics) | Irfan Siddiqui (lyrics)","Priyanka Chopra | Kangana Ranaut | Mugdha Godse | Arbaaz Khan","Madhur Bhandarkar","0",4
"211","Ferrari Ki Sawaari","15-Jun-12","3.04","13.91","20.96","28.1","tt2122340","#N/A",2012,"15-Jun-12","Crime | Family | Sport","Vidhu Vinod Chopra (original story and screenplay) | Rajesh Mapuskar (original story and screenplay) | Rajkumar Hirani (original story and dialogue) | Shekhar Dhavalikar (script associate) | Ranjeet Bahadur (dialogue associate)","Sharman Joshi | Boman Irani | Ritwik Sahore | Paresh Rawal","Rajesh Mapuskar","0",5
"212","Finding Fanny","12-Sep-14","5.1","19.9","28.09","35.91","tt3142688","#N/A",2014,"12-Sep-14","Comedy | Drama | Romance","Homi Adajania | Kersi Khambatta","Deepika Padukone | Arjun Kapoor | Naseeruddin Shah | Dimple Kapadia","Homi Adajania","0",2
"213","Footpath","15-08-2003","0.62","1.76","2.74","4.15","tt0374660","#N/A",2003,"15-Aug-03","Action | Crime | Drama","Mahesh Bhatt (screenplay) | Girish Dhamija (dialogue) | Vibha Singh (screenplay)","Aftab Shivdasani | Bipasha Basu | Rahul Dev | Emraan Hashmi","Vikram Bhatt","0",2
"214","Force","30-09-2011","5.05","16","24.52","27.29","tt1992138","#N/A",2011,"30-Sep-11","Action | Crime | Drama","Gautham Menon (original story by) | Ritesh Shah","John Abraham | Genelia D'Souza | Raj Babbar | Mohnish Bahl","Nishikant Kamat","0",2
"215","Fox","04-09-2009","0.59","1.81","2.52","2.87","tt1324076","#N/A",2009,"04-Sep-09","Crime | Drama | Mystery","Kamal Pandey (dialogue) | Deepak Tijori (story)","Arjun Rampal | Sunny Deol | Udita Goswami | Sagarika Ghatge","Deepak Tijori","0",1
"216","Fugly","13-Jun-14","2.95","9.34","11.57","12.28","tt3683702","#N/A",2014,"13-Jun-14","Drama | Thriller","Rahul Handa (story)","Jimmy Shergill | Mohit Marwah | Kiara Advani | Vijender Singh","Kabir Sadanand","0",2
"217","Fukrey","14-Jun-13","2.62","9.82","18.42","36.5","tt2806788","#N/A",2013,"14-Jun-13","Comedy | Drama | Romance","Mrigdeep Singh Lamba (additional dialogue) | Mrigdeep Singh Lamba (screenplay) | Vipul Vig (screenplay) | Vipul Vig (story)","Priya Anand | Richa Chadda | Kapil Dubey | Ali Fazal","Mrigdeep Singh Lamba","0",5
"218","Gali Gali Chor Hai","03-Feb-12","N.A.","3.25","4.38","4.83","tt2188749","#N/A",2012,"03-Feb-12","Drama","Rumi Jaffery | Mumukshu Mudgal","Mohit Baghet | Sahaj Bradoria | Mugdha Godse | Shalin Gupta","Rumi Jaffery","0",1
"219","Game","01-04-2011","1.25","3.25","4.6","6.1","tt1772872","#N/A",2011,"01-Apr-11","Action | Crime | Drama","Farhan Akhtar (dialogue) | Javed Akhtar (lyrics)","Abhishek Bachchan | Kangana Ranaut | Anupam Kher | Boman Irani","Abhinay Deo","0",1
"220","Gang of Ghosts","21-Mar-14","N.A.","N.A.","1.55","1.7","tt3531604","#N/A",2014,"21-Mar-14","Comedy | Drama","N/A","Sharman Joshi | Mahie Gill | Asrani | Parambrata Chatterjee","Satish Kaushik","0",1
"221","Gangaajal","29-08-2003","1.08","3.1","5.22","10.48","tt0373856","#N/A",2003,"29-Aug-03","Crime | Drama","Prakash Jha (screenplay)","Ajay Devgn | Gracy Singh | Mohan Joshi | Yashpal Sharma","Prakash Jha","0",4
"222","Gangoobai","11-Jan-13","N.A.","N.A.","N.A.","0.01","tt2624852","#N/A",2013,"11-Jan-13","Drama | Family","Priya Krishnaswamy | Rayomand J. Patell (additional screenplay writer) | Abhay Tiwari (dialogue)","Sarita Joshi | Purab Kohli | Mita Vasisht | Rajendranath Zutshi","Priya Krishnaswamy","0",1
"223","Gangster","28-Apr-06","1.07","3.47","5.82","12.67","tt0495032","#N/A",2006,"28-Apr-06","Crime | Drama | Mystery","Mahesh Bhatt (story) | Girish Dhamija (dialogue) | Anurag Basu (screenplay)","Kangana Ranaut | Shiney Ahuja | Emraan Hashmi | Gulshan Grover","Anurag Basu","0",5
"224","Garam Masala","02-11-2005","3.02","7.11","14.13","29","tt0453671","#N/A",2005,"03-Nov-05","Comedy","Priyadarshan (screenplay) | Neeraj Vora (dialogue) | Priyadarshan (story)","Akshay Kumar | John Abraham | Paresh Rawal | Rimi Sen","Priyadarshan","0",6
"225","Ghajini","25-Dec-08","0N.A","0N.A","55.16","114","tt1166100","#N/A",2008,"25-Dec-08","Action | Drama | Mystery","Piyush Mishra (dialogue) | A.R. Murugadoss (story)","Aamir Khan | Asin | Jiah Khan | Tinnu Anand","A.R. Murugadoss","0",8
"226","Ghanchakkar","28-Jun-13","7.2","22.3","31.6","34","tt2246724","#N/A",2013,"03-Jul-13","Comedy | Crime | Thriller","Raj Kumar Gupta (screenplay) | Parveez Sheikh (screenplay) | Parveez Sheikh (story)","Vidya Balan | Emraan Hashmi | Parvin Dabas | Rajesh Sharma","Raj Kumar Gupta","0",2
"227","Ghost","13-Jan-12","N.A.","N.A.","6.74","7.93","tt2175671","#N/A",2012,"13-Jan-12","Horror","Puja Bedi (screenplay) | Puja Bedi (story)","Shiney Ahuja | Sayali Bhagat | Julia Bliss | Tabrez Khan","Puja Bedi","0",2
"228","Gippi","10-May-13","0.75","3","4.5","4.5","tt2814372","#N/A",2013,"10-May-13","Comedy | Drama","Sonam Nair (screenplay)","Divya Dutta | Arbaz Kadwani | Taaha Shah | Doorva Tripathi","Sonam Nair","0",2
"229","Go Goa Gone","10-May-13","3.75","12.9","19.92","25.16","tt2436516","#N/A",2013,"10-May-13","Action | Adventure | Comedy","Krishna D.K. (story) | Kunal Khemu (dialogue) | Sita Menon (dialogue) | Sita Menon (story) | Raj Nidimoru (story) | Raja Sen (additional dialogue)","Saif Ali Khan | Kunal Khemu | Vir Das | Anand Tiwari","Krishna D.K. | Raj Nidimoru","0",2
"230","God Tussi Great Ho","15-Aug-08","2.43","6.42","9.85","12.51","tt0476550","#N/A",2008,"15-Aug-08","Comedy | Drama | Romance","Rumi Jaffery (screenplay) | Yunus Sajawal (story)","Amitabh Bachchan | Salman Khan | Priyanka Chopra | Anupam Kher","Rumi Jaffery","0",2
"231","Golmaal 3","05-11-2010","8","33.58","62.19","106.34","tt1562859","#N/A",2010,"05-Nov-10","Action | Comedy","Robin Bhatt (script consultant) | Farhad (dialogue) | Bunty Rathore (additional dialogue) | Yunus Sajawal (screenplay) | Sajid (dialogue)","Mithun Chakraborty | Ajay Devgn | Kareena Kapoor | Tusshar Kapoor","Rohit Shetty","1",8
"232","Golmaal Returns","29-Oct-08","5.89","17.56","33.9","51.12","tt1092005","#N/A",2008,"29-Oct-08","Comedy | Crime | Drama","Indie (lyrics) | Rumi Jaffery | Ashiesh Pandit (lyrics) | Yunus Sajawal (screenplay) | Sameer (lyrics) | Neeraj Shridhar (lyrics) | Neeraj Vora (dialogue)","Amrita Arora | Leigh Barwell | Robin Bhatt | Ajay Devgn","Rohit Shetty","1",6
"233","Grand Masti","13-Sep-13","12.51","40.18","67.4","102","tt2476154","#N/A",2013,"13-Sep-13","Comedy | Drama | Romance","Tushar Hiranandani (story) | Milap Zaveri (dialogue) | Milap Zaveri (story)","Ritesh Deshmukh | Vivek Oberoi | Aftab Shivdasani | Suresh Menon","Indra Kumar","1",7
"234","Gulaab Gang","07-Mar-14","2.41","8.84","12.54","14.58","tt2573750","#N/A",2014,"07-Mar-14","Action | Drama","Soumik Sen (story) | Amitosh Nagpal (dialogue) | Soumik Sen (dialogue)","Madhuri Dixit | Juhi Chawla | Divya Jagdale | Priyanka Bose","Soumik Sen","0",2
"235","Gulaal","13-03-2009","0.75","2.29","3.33","4.31","tt1261047","#N/A",2009,"13-Mar-09","Crime | Drama | Mystery","Raj Singh Chaudhary (story) | Anurag Kashyap (screenplay) | Anurag Kashyap (story) | Aparnaa Malhotra (story) | Sanjay Maurya (story)","Kay Kay Menon | Raj Singh Chaudhary | Jesse Randhawa | Deepak Dobriyal","Anurag Kashyap","0",2
"236","Gunaah","20-Sep-02","0.59","1.71","2.71","4.49","tt0331256","#N/A",2002,"16-Oct-02","Crime | Drama","Mahesh Bhatt (screenplay) | Pranay Narayan (dialogue)","Bipasha Basu | Dino Morea | Ashutosh Rana | Banjara","Amol Shetge","0",2
"237","Gunday","14-Feb-14","16.12","43.93","63.08","78.6","tt2574698","#N/A",2014,"14-Feb-14","Action | Crime | Drama","Ali Abbas Zafar | Sanjay Masoom (additional dialogue)","Ranveer Singh | Arjun Kapoor | Priyanka Chopra | Irrfan Khan","Ali Abbas Zafar","0",5
"238","Guru","12-Jan-07","3.37","11.14","18.7","45.49","tt0499375","#N/A",2007,"12-Jan-07","Biography | Drama | Musical","Mani Ratnam (screenplay) | Vijay Krishna Acharya (dialogue) | Anurag Kashyap (additional dialogue) | Sujatha (additional dialogue) | Suhasini (additional dialogue)","Mithun Chakraborty | Abhishek Bachchan | Aishwarya Rai Bachchan | Madhavan","Mani Ratnam","0",6
"239","Guzaarish","19-11-2010","4","15","22","29.32","tt1438298","#N/A",2010,"19-Nov-10","Comedy | Drama | Romance","Sanjay Leela Bhansali (screenplay) | Bhavani Iyer (dialogue) | Bhavani Iyer (screenplay) | Vibhu Puri (dialogue) | Turaz (lyrics)","Hrithik Roshan | Aishwarya Rai Bachchan | Shernaz Patel | Aditya Roy Kapoor","Sanjay Leela Bhansali","0",1
"240","Haan Maine Bhi Pyaar Kiya","15-Feb-02","0.96","2.81","4.56","8.93","tt0308347","#N/A",2002,"15-Feb-02","Musical | Romance","Dharmesh Darshan (dialogue) | Dharmesh Darshan (screenplay) | Naseem Mukri (dialogue) | Raj Sinha (dialogue) | Raj Sinha (screenplay) | Raj Sinha (story)","Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan","Dharmesh Darshan","0",2
"241","Haider","02-Oct-14","6.14","26.78","41","56.09","tt3390572","#N/A",2014,"02-Oct-14","Crime | Drama | Romance","William Shakespeare (based on the play ""Hamlet"" by) | Basharat Peer (screenplay) | Vishal Bhardwaj (screenplay) | Vishal Bhardwaj (dialogue)","Tabu | Shahid Kapoor | Shraddha Kapoor | Kay Kay Menon","Vishal Bhardwaj","0",4
"242","Halla Bol","11-Jan-08","1.87","6.28","9.27","12.75","tt0892874","#N/A",2008,"11-Jan-08","Action | Crime | Drama","Ranjit Kapoor (dialogues) | Dushyant Kumar (lyrics) | Sameer (lyrics) | Rajkumar Santoshi (dialogues) | Rajkumar Santoshi (story)","Ajay Devgn | Vidya Balan | Pankaj Kapur | Darshan Jariwala","Rajkumar Santoshi","0",2
"243","Hansa","28-Dec-12","N.A.","N.A.","0.01","0.01","tt2182726","#N/A",2012,"N/A","Drama","N/A","Trimala Adhikari | Abhay Joshi | Ashish Kumar | Kumud Mishra","Manav Kaul","0",1
"244","Hanuman","21-10-2005","0.25","0.9","1.58","5.38","tt0488836","#N/A",2005,"21-Oct-05","Animation","Milind Ukey","Archi | Rajesh Jolly | Mukesh Khanna | Sushmita Mukherjee","V.G. Samant | Milind Ukey","0",5
"245","Happy Ending","21-Nov-14","3.75","13","19.05","19.44","tt3017412","#N/A",2014,"21-Nov-14","Comedy | Romance","Raj Nidimoru (story) | Krishna D.K. (story) | Sita Menon (story) | Raj Nidimoru (screenplay) | Krishna D.K. (screenplay) | Sita Menon (screenplay) | Hussain Dalal (dialogue)","Saif Ali Khan | Ileana | Kalki Koechlin | Ranvir Shorey","Krishna D.K. | Raj Nidimoru","0",1
"246","Happy Husbands","25-03-2011","N.A.","N.A.","N.A.","0.36","tt1465488","#N/A",2011,"25-Mar-11","Comedy | Drama","Jaiveer (screenplay) | Jaiveer (story) | Sarim Momin (lyrics)","Anay | Kurush Deboo | Mohit Ghai | Ahwaan","Jaiveer","0",1
"247","Happy New Year","24-Oct-14","44.97","108.86","157.57","203","tt2461132","#N/A",2014,"24-Oct-14","Action | Comedy | Crime","Althea Kaushal | Farah Khan | Mayur Puri","Shah Rukh Khan | Deepika Padukone | Vivaan Shah | Kareena Kapoor","Farah Khan","0",7
"248","Hasee Toh Phasee","07-Feb-14","4.65","18.4","28.55","37.4","tt3173910","#N/A",2014,"07-Feb-14","Comedy | Romance","Harshavardhan Kulkarni (story) | Harshavardhan Kulkarni (dialogue) | Anurag Kashyap (dialogue) | Purva Naresh (dialogue) | Vinil Matthew (dialogue)","Sidharth Malhotra | Parineeti Chopra | Adah Sharma | Manoj Joshi","Vinil Matthew","0",4
"249","Hate Story","20-Apr-12","2.1","6.6","11","13.55","tt2309987","#N/A",2012,"20-Apr-12","Thriller","Vikram Bhatt | Rohit Malhotra (dialogue)","Paoli Dam | Nikhil Dwivedi | Gulshan Devaiah | Saurabh Dubey","Vivek Agnihotri","0",4
"250","Hate Story 2","18-Jul-14","5.46","15.85","25.6","27.16","tt3619772","#N/A",2014,"18-Jul-14","Drama | Romance | Thriller","Madhuri Banerjee (screenplay) | Girish Dhamija (dialogue)","Sushant Singh | Surveen Chawla | Jay Bhanushali | Siddharth Kher","Vishal Pandya","2",4
"251","Hattrick","16-Mar-07","0.93","2.91","4.03","4.81","tt0979891","#N/A",2007,"16-Mar-07","Comedy | Drama | Romance","Rajat Arora (story)","Nana Patekar | Danny Denzongpa | Paresh Rawal | Kunal Kapoor","Milan Luthria","0",2
"252","Hawa","04-07-2003","0.54","1.5","2.38","3.76","tt0369516","#N/A",2003,"04-Jul-03","Horror | Thriller","Sutanu Gupta (screenplay) | Sutanu Gupta (story) | Sanjay Masoom (dialogue)","Tabu | Shahbaaz Khan | Mukesh Tiwari | Imran Khan","Guddu Dhanoa","0",3
"253","Hawaa Hawaai","09-May-14","0.8","4.25","7.7","10.42","tt3501994","#N/A",2014,"09-May-14","Drama | Family | Sport","Amole Gupte","Mahesh Balraj | Bugs Bhargava | Hardik Bothra | Makrand Deshpande","Amole Gupte","0",2
"254","Heartless","07-Feb-14","N.A.","0.75","1.08","1.19","tt3334348","#N/A",2014,"07-Feb-14","Drama | Family | Romance","Nina Arora (screenplay) | Niranjan Iyengar (dialogue) | Arafat Mehmood (lyrics) | Seema Saini (lyrics) | Shekhar Suman (lyrics) | Shekhar Suman (story)","Adhyayan Suman | Ariana Ayam | Deepti Naval | Om Puri","Shekhar Suman","0",1
"255","Hello","10-Oct-08","1.97","6.27","9.7","12.11","tt1087856","#N/A",2008,"10-Oct-08","Drama | Romance","Atul Agnihotri (screenplay) | Chetan Bhagat (additional dialogue) | Chetan Bhagat (book) | Jalees Sherwani (lyrics) | Alok Upadhyay (additional dialogue)","Bharati Achrekar | Amrita Arora | Sharman Joshi | Katrina Kaif","Atul Agnihotri","0",2
"256","Hello Darling","27-08-2010","N.A.","N.A.","N.A.","2.97","tt1191118","#N/A",2010,"27-Aug-10","Comedy | Drama","Shabbir Ahmed (lyrics) | Kumaar (lyrics) | Ashiesh Pandit (lyrics) | Sachin Shah | Pankaj Trivedi","Gul Panag | Celina Jaitly | Isha Koppikar | Chunky Pandey","Manoj Tiwari","0",1
