Column1,�..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.,�..imdbId,releaseYear,releaseDate,genre,writers,actors,directors,sequel,FirstWeekIMDBRating
129,Chase,29-04-2010,0.042,0.094248,0.231,0.35,tt1594964,2010,30-Apr-10,Action | Crime | Drama,Abhiram Bhadkamkar (additional screenplay & dialogue) | Tanveer Khan (script),Anuj Saxena | Udita Goswami | Tarina Patel | Sameer Kochhar,Jag Mundhra,0,1
162,Dehraadun Diary,04-Jan-13,0.042,0.13464,0.33,0.35,tt2613942,2013,04-Jan-13,Thriller,Aseem Arora (screenplay) | Aseem Arora (script),Rati Agnihotri | Neelima Azim | Rohit Bakshi | Vishal Bhosle,Milind Ukey,0,1
538,Rajdhani Express,04-Jan-13,0.042,0.13464,0.33,0.35,tt2560016,2013,04-Jan-13,Action | Drama | Thriller,Ashok Kohli (dialogue) | Ashok Kohli (screenplay),Ishrat Ali | Nishant Balgovind | Sayali Bhagat | Puja Bose,Ashok Kohli,0,1
605,Stand By,26-08-2011,0.042,0.102,0.25,0.35,tt2028553,2011,26-Aug-11,Drama | Sport | Thriller,Varun Gautam | Sanjay Soorkar | Pravin Vithal Tarde,Siddharth Kher | Sachin Khedekar | Dalip Tahil | Nagesh Bhonsle,Sanjay Soorkar,0,1
257,Happy Husbands,25-03-2011,0.0432,0.0969408,0.2376,0.36,tt1465488,2011,25-Mar-11,Comedy | Drama,Jaiveer (screenplay) | Jaiveer (story) | Sarim Momin (lyrics),Anay | Kurush Deboo | Mohit Ghai | Ahwaan,Jaiveer,0,1
312,Jeena Hai Toh Thok Daal,14-Sep-12,0.0432,0.00408,0.01,0.36,tt2294685,2012,14-Sep-12,Drama,Saurabh Choudhary (screenplay),Ravi Kishan | Manish Vatsalya | Yashpal Sharma | Rahul Kumar,Manish Vatsalya,0,1
9,A Flat,12-11-2010,0.0444,0.0996336,0.2442,0.37,tt0988655,2010,12-Nov-10,Drama | Horror | Romance,Hemant Madhukar (screenplay) | Hemant Madhukar (story) | Ajay Monga (screenplay),Jimmy Shergill | Sanjay Suri | Hazel Croney | Kaveri Jha,Hemant Madhukar,0,1
292,I Am Singh,02-12-2011,0.0444,0.1428,0.35,0.37,tt1504687,2011,N/A,Action | Crime | Drama,Gary Castro Churchwell (additional dialogue) | Deepali Issar (story) | Puneet Issar (story) | Puneet Issar | Satyajit Puri (story),Joseph Armillas | Anto Boghokian | Elissa Brentano | Gerald Brodin,Puneet Issar,0,1
580,Shabri,26-08-2011,0.0444,0.11016,0.27,0.37,tt2032530,2011,26-Aug-11,Action | Crime | Drama,Lalit Marathe (story),Isha Koppikar | Raj Arjun | Manish Wadhwa | Pradeep Singh Rawat,Lalit Marathe,0,1
112,Bumboo,30-Mar-12,0.0468,0.1428,0.35,0.39,tt2265191,2012,30-Mar-12,Comedy,Kavin Dave | Jagdish Rajpurohit,Kavin Dave | Shailesh Hejmady | Bikramjeet Kanwarpal | Sumit Kaul,Jagdish Rajpurohit,0,1
583,Shakal Pe Mat Ja,18-11-2011,0.0468,0.1428,0.35,0.39,tt2109200,2011,18-Nov-11,Comedy | Crime | Drama,Shubh,Shubh | Pratik Katare | Harsh Parekh | Chitrak Bandyopadhyay,Shubh,0,1
291,I Am,29-04-2011,0.0492,0.1104048,0.2706,0.41,tt1674068,2011,20-Apr-11,Documentary | Biography | Family,N/A,Sonali Gulati,Sonali Gulati,0,1
141,Club 60,06-Dec-13,0.0504,0.13056,0.32,0.42,tt2361148,2013,06-Dec-13,Drama,Sanjay Tripathy,Farooq Shaikh | Sarika | Raghuvir Yadav | Satish Shah,Sanjay Tripathy,0,1
377,Kushti,14-05-2010,0.0516,0.1157904,0.2838,0.43,tt1673411,2010,14-May-10,Comedy,Manisha Korde (dialogues) | Rajeev Kumar (screenplay) | Sameer (lyrics),Rajpal Yadav | Nargis Bagheri | Om Puri | Sharat Saxena,Rajeev Kumar,0,1
705,Zed Plus,28-Nov-14,0.0564,0.19176,0.47,0.47,tt4190220,2014,28-Nov-14,N/A,Chandra Prakash Dwivedi (screen play and dialogue by) | Ramkumar Singh (screen play and dialogue by) | Ramkumar Singh (story),Adil Hussain | Ekavali Khanna | Kulbhushan Kharbanda | Sanjay Mishra,Chandra Prakash Dwivedi,0,1
120,Chakradhaar,15-Jun-12,0.0588,0.11016,0.27,0.49,tt2207668,2012,15-Jun-12,Action,Dharam Prakash | Arsh Rana,Abishek Anand | Zakir Hussain | Darshan Jariwala | Vidya Malvade,Dharam Prakash | Shakur Sir,0,1
638,The Japanese Wife,09-04-2010,0.0588,0.1319472,0.3234,0.49,tt1620620,2010,09-Apr-10,Drama | Romance,Kunal Basu (based on the story by) | Aparna Sen,Rahul Bose | Chigusa Takaku | Raima Sen | Moushumi Chatterjee,Aparna Sen,0,1
446,Mod,14-10-2011,0.0612,0.16728,0.41,0.51,tt2043923,2011,14-Oct-11,Drama | Romance | Thriller,Nagesh Kukunoor,Ayesha Takia | Rannvijay Singh | Raghuvir Yadav | Tanvi Azmi,Nagesh Kukunoor,0,1
49,Allah Ke Banday,26-11-2010,0.0624,0.1400256,0.3432,0.52,tt1292642,2010,26-Nov-10,Action | Crime | Drama,Faruk Kabir | Sarim Momin (lyrics),Varun Bhagwat | Vikram Gokhale | Zakir Hussain | Bharat Jha,Faruk Kabir,0,1
393,Lanka,09-12-2011,0.0624,0.20808,0.51,0.52,tt2137064,2011,09-Dec-11,Action | Crime | Drama,Shashank Dabral (story) | Shashank Dabral,Manoj Bajpayee | Arjan Bajwa | Tia Bajpai | Yashpal Sharma,Maqbool Khan,0,1
602,Soundtrack,07-10-2011,0.0636,0.17544,0.43,0.53,tt1941657,2011,07-Oct-11,Drama | Musical,Chintan Gandhi | Neerav Ghosh | Rajiv Gopalkrishnan | Aarthi Rayapura (script development),Rajeev Khandelwal | Soha Ali Khan | Mrinalini Sharma | Mohan Kapoor,Neerav Ghosh,0,1
329,Kaalo,17-12-2010,0.072,0.161568,0.396,0.6,tt1808221,2010,17-Dec-10,Action | Drama | Horror,Wilson Louis (screenplay) | Wilson Louis (story) | Mamta Patnaik (story),Aditya Srivastava | Swini Khara | Aditya Lakhia | Raj Arjun,Wilson Louis,0,1
711,Zokkomon,22-04-2011,0.0732,0.1642608,0.4026,0.61,tt1605790,2011,22-Apr-11,Action | Adventure | Drama,Javed Akhtar (lyrics) | Satyajit Bhatkal (story) | Svati Chakravarty Bhatkal (story) | Lancy Fernandes (story) | Divy Nidhi Sharma (dialogues),Anupam Kher | Manjari Phadnis | Tinnu Anand | Sheeba Chaddha,Satyajit Bhatkal,0,1
134,Children of War,16-May-14,0.0744,0.24888,0.61,0.62,tt3369670,2014,16-May-14,Drama | History | War,Mrityunjay Devvrat | Asad Hussain,Farooq Shaikh | Victor Banerjee | Pavan Malhotra | Indraneil Sengupta,Mrityunjay Devvrat,0,1
567,Sahi Dhandhe Galat Bande,19-08-2011,0.078,0.24888,0.61,0.65,tt1630282,2011,19-Aug-11,Action | Comedy | Drama,Parvin Dabas,Anupam Kher | Sharat Saxena | Parvin Dabas | Vansh Bhardwaj,Parvin Dabas,0,1
629,Tere Mere Phere,30-09-2011,0.078,0.22032,0.54,0.65,tt1696191,2011,30-Sep-11,Comedy | Drama | Romance,Jagrat Desai (story) | Deepa Sahi (screenplay) | Deepa Sahi (story),Vinay Pathak | Riya Sen | Jagrat Desai | Sasha Goradia,Deepa Sahi,0,1
378,Kya Dilli Kya Lahore,02-May-14,0.08,0.22,0.69,0.69,tt2063745,2014,02-May-14,Drama | History | War,Aseem Arora (story) | Manu Rishi Chadha (dialogue) | Manu Rishi Chadha | Gulzar (lyrics) | Pratham Jolly | Sandeep Sinha (additional screenplay),Vijay Raaz | Manu Rishi Chadha | Rajendranath Zutshi | Vishwajeet Pradhan,Vijay Raaz | Karan Arora,0,1
691,Yeh Hai Bakrapur,09-May-14,0.2,0.2856,0.7,0.7,tt3524410,2014,09-May-14,Comedy | Drama,Azad Alam (additional screenplay & dialogue) | Janaki Vishwanathan (screenplay) | Janaki Vishwanathan,Asif Basra | Anshuman Jha | Yoshika Verma | Amit Sial,Janaki Vishwanathan,0,1
32,Accident on Hill Road,31-12-2009,0.0864,0.1938816,0.4752,0.72,tt1570417,2010,31-Dec-09,Crime | Drama | Thriller,Varun Grover (dialogues) | Rahul Mehta (dialogues) | Mahesh Nair (screenplay) | Sandeep Nath (lyrics) | Siddhaarth Parmar (screenplay),Farooq Shaikh | Celina Jaitly | Abhimanyu Singh | Rukhsar,Mahesh Nair,0,1
281,Hum Hai Raahi CAR Ke,24-May-13,0.0864,0.5,0.69,0.72,tt2100543,2013,24-May-13,Adventure | Romance,Jyotin Goel,Anupam Kher | Sanjay Dutt | Juhi Chawla | Rati Agnihotri,Jyotin Goel,0,1
354,Khwaabb,09-May-14,0.2,0.306,0.75,0.75,tt2429930,2014,09-May-14,Drama | Romance | Sport,Moraad Ali Khan (story) | Arnab Mukherjee,Nafisa Ali | Simer Motiani | Bajrangbali Singh | Navdip Singh,Zaid Ali Khan,0,1
463,Na Ghar Ke Na Ghaat Ke,12-03-2010,0.0984,0.2208096,0.5412,0.82,tt1620907,2010,12-Mar-10,Comedy | Drama,Aman Ahmad Jeffery (story) | Alok Upadhyay (screenplay),Om Puri | Paresh Rawal | Neena Gupta | Ravi Kishan,Rahul Aggarwal,0,1
607,Striker,05-02-2010,0.1008,0.8,0,0.84,tt1573482,2010,05-Feb-10,Crime | Drama,Sunita Rajwar (story) | Iqbal Merchant (story) | Chandan Arora (screenplay) | Sunita Rajwar (screenplay) | Sagar Kapoor (dialogues) | Vijay Maurya (dialogues) | Pankaj Saraswat (dialogues) | Nitin Raikwar (lyrics) | Jeetendra Joshi (lyrics) | Prashant Ingole (lyrics),Siddharth | Ankur Vikal | Anupam Kher | Vidya Malvade,Chandan Arora,0,1
369,Krishna Aur Kans,03-Aug-12,0.1032,0.204,0.5,0.86,tt2321492,2012,03-Aug-12,Animation | Action | Adventure,Kamlesh Pandey (screenplay) | Dhrubo Banerjee (story) | Bhaskar Mani (story),Manoj Bajpayee | Harish Bhimani | Neetu Chaudhary | Juhi Chawla,Vikram Veturi,0,1
703,Zahreela,02-Mar-01,0.13,0.35,0.53,0.87,tt1176141,2001,05-Mar-01,Action,Iqbal Durrani (dialogue) | Sanjay Kumar (screenplay),Vikas Anand | Asrani | Mithun Chakraborty | Gulshan Grover,Raj N. Sippy,0,1
76,Badlapur Boys,12-Dec-14,0.14,0.43,0.76,0.89,tt2767712,2014,12-Dec-14,Drama,Shailesh Verma,Annu Kapoor | Anupam Maanav | Saranya Mohan | Nishan,Shailesh Verma,0,1
444,Mirch,17-12-2010,0.1068,0.2396592,0.5874,0.89,tt1388903,2010,22-Oct-10,Comedy | Drama | Fantasy,Javed Akhtar (lyrics) | Vinay Shukla (story),Arunoday Singh | Boman Irani | Ila Arun | Konkona Sen Sharma,Vinay Shukla,0,1
599,Sonali Cable,17-Oct-14,0.14,0.45,0.81,0.91,tt2871010,2014,17-Oct-14,Drama,Charudutt Acharya,Rhea Chakraborty | Ali Fazal | Smita Jaykar | Raghav Juyal,Charudutt Acharya,0,1
557,Rokkk,05-03-2010,0.1116,0.2504304,0.6138,0.93,tt1612573,2010,05-Mar-10,Drama | Horror | Mystery,Rajesh Ranshinge (story) | Haroon Rashid (screenplay),Tanushree Dutta | Udita Goswami | Shaad Randhawa | Sachin Khedekar,Rajesh Ranshinge,0,1
535,Rahul,06-Apr-01,0.08,0.27,0.48,0.98,tt0277981,2001,23-Mar-01,Drama,Farhan (dialogue) | Farhan (screenplay) | Anuradha Tiwari (screenplay),Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Prakash Jha,0,1
637,The Film Emotional Atyachar,03-09-2010,0.1176,0.2638944,0.6468,0.98,tt1649760,2010,03-Sep-10,Comedy | Crime | Drama,Amitabh Bhattacharya (lyrics) | Bhavini Bheda | Kartik Krishnan (dialogues) | Virag Mishra (lyrics),Ranvir Shorey | Vinay Pathak | Ravi Kishan | Mohit Ahlawat,Akshay Shere,0,1
66,Avgat,01-Jun-01,0.12,0.2448,0.6,1,tt0346548,2001,01-Jun-01,Action | Crime | Drama,N/A,Ajinkya Deo | Nethra Raghuraman | Sayaji Shinde | Rohini Hattangadi,Mohan Sharma,0,1
428,Manjunath,09-May-14,0.2,0.408,1,1,tt3056632,2014,09-May-14,Drama,N/A,Anjori Alagh | Karan Ashar | Asif Basra | Seema Biswas,Sandeep A. Varma,0,1
427,Mallika,03-09-2010,0.1212,0.2719728,0.6666,1.01,tt1929309,2010,03-Sep-10,Drama | Horror | Mystery,Alok Mishra (additional screenplay & dialogue) | A. Sammeer | B. Viveck,Anirudh Agarwal | Puja Ballutia | Sammir Dattani | Dunger,Wilson Louis,0,1
494,Paagalpan,08-Jun-01,0.1236,0.27336,0.67,1.03,tt0285319,2001,08-Jun-01,Romance,Joy Augustine (story),Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Joy Augustine,0,1
56,Ankur Arora Murder Case,14-Jun-13,0.12,1.05,0.693,1.05,tt2912578,2013,14-Jun-13,Drama | Thriller,Vikram Bhatt | Shagufta Rafique (dialogue),Tisca Chopra | Paoli Dam | Arjun Mathur | Kay Kay Menon,Sohail Tatari,0,1
389,Lahore,19-03-2010,0.126,0.282744,0.693,1.05,tt1285245,2010,19-Mar-10,Action | Drama | Sport,Sanjay Puran Singh Chauhan (dialogue) | Sanjay Puran Singh Chauhan (screenplay) | Sanjay Puransingh Chauhan (story) | Panchhi Jalonvi (lyrics) | Hriday Lani (collaborating writer) | Piyush Mishra (dialogue) | Piyush Mishra (screenplay) | Junaid Wasi (lyrics),Farooq Shaikh | Nafisa Ali | Aanaahad | Sabyasachi Chakraborty,Sanjay Puransingh Chauhan,0,1
153,Damadamm!,27-10-2011,0.1284,0.35088,0.86,1.07,tt1503640,2011,27-Oct-11,Comedy | Drama | Romance,Himesh Reshammiya (story) | Subrat Sinha (screenplay),Himesh Reshammiya | Sonal Sehgal | Purbi Joshi | Rajesh Khattar,Swapna Joshi,0,1
113,Bumm Bumm Bole,14-05-2010,0.1308,0.2935152,0.7194,1.09,tt1629241,2010,14-May-10,Action | Drama | Thriller,Manisha Korde (screenplay) | Sameer (lyrics) | Irfan Siddiqui (lyrics) | Satish Mutatkar (lyrics),Atul Kulkarni | Rituparna Sengupta | Darsheel Safary | Ziyah Vastani,Priyadarshan,0,1
531,Rabba Main Kya Karoon,02-Aug-13,0.18,0.78,1.09,1.09,tt2416294,2013,02-Aug-13,Comedy | Romance,Aakash Kaushik,Tinnu Anand | Raj Babbar | Akash Chopra | Shakti Kapoor,Amrit Sagar,0,1
654,Turning 30!!!,14-01-2011,0.1392,0.3123648,0.7656,1.16,tt1666184,2011,14-Jan-11,Comedy | Drama | Romance,Ram Goutam (lyrics) | Kumaar (lyrics) | Prashant Pandey (lyrics) | Suhas Shetty (lyrics) | Alankrita Shrivastava,Gul Panag | Purab Kohli | Sid Makkar | Jeneva Talwar,Alankrita Shrivastava,0,1
264,Heartless,07-Feb-14,0.1428,0.75,1.08,1.19,tt3334348,2014,07-Feb-14,Drama | Family | Romance,Nina Arora (screenplay) | Niranjan Iyengar (dialogue) | Arafat Mehmood (lyrics) | Seema Saini (lyrics) | Shekhar Suman (lyrics) | Shekhar Suman (story),Adhyayan Suman | Ariana Ayam | Deepti Naval | Om Puri,Shekhar Suman,0,1
520,Purani Jeans,02-May-14,0.32,1.1,1.17,1.19,tt3681414,2014,02-May-14,Drama,Tanushri Chattrji Bassu,Rati Agnihotri | Param Baidwaan | Kashika Chopra | Sammy Durrani,Tanushri Chattrji Bassu,0,1
343,Karle Pyaar Karle,17-Jan-14,0.3,0.7,1.17,1.24,tt3465488,2014,17-Jan-14,Action | Romance,Suneel Darshan,Shiv Darshan | Hasleen Kaur | Aham Sharma | Tanya Malik,Rajesh Pandey,0,1
626,Tell Me O Kkhuda,27-10-2011,0.1536,0.37944,0.93,1.28,tt1961530,2011,27-Oct-11,Action | Crime | Drama,Hema Malini | Mayur Puri (story) | Ulka Puri (story) | Anand Sharma (story),Dharmendra | Vinod Khanna | Rishi Kapoor | Farooq Shaikh,Hema Malini,0,1
346,Kasam,12-Oct-01,0.19,0.51,0.79,1.29,tt0317811,2001,20-Nov-01,Adventure | Drama | Crime,Madan Joshi (dialogue) | Jyothika Mittra (idea) | Faiz Saleem (screenplay),Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam,Shibu Mitra,0,2
570,Samrat & Co.,25-Apr-14,0.23,0.82,1.26,1.29,tt3636776,2014,25-Apr-14,Mystery,N/A,Ramgopal Bajaj | Ajay Bhandari | Barkha Bisht | Priyanshu Chatterjee,Kaushik Ghatak,0,1
415,Machhli Jal Ki Rani Hai,13-Jun-14,0.162,0.44064,1.08,1.35,tt2208248,2014,13-Jun-14,Horror,N/A,Swara Bhaskar | Reema Debnath | Saurabh Dubey | Hritu,Debaloy Dey,0,1
418,Mahabharat,27-Dec-13,0.1632,0.52632,1.29,1.36,tt3415692,2013,25-Dec-13,Animation | Action,Amaan Khan (screenplay) | Amjad Sheikh (dialogue),Amitabh Bachchan | Ajay Devgn | Vidya Balan | Sunny Deol,Amaan Khan,0,1
595,Sixteen,12-Jul-13,0.1728,0.50592,1.24,1.44,tt2976172,2013,12-Jul-13,Drama | Romance | Thriller,Raj Purohit | Pawan Sony,Wamiqa Gabbi | Izabelle Liete | Mehak Manwani | Highphill Mathew,Raj Purohit,0,1
617,Tamanchey,10-Oct-14,0.22,0.66,1.3,1.46,tt2317135,2014,10-Oct-14,Crime | Romance,N/A,Nikhil Dwivedi | Richa Chadda | Mahesh Balraj | Kislaya Dwivedi,Suryaveer Singh Bhullar,0,1
353,Khuda Kasam,26-11-2010,0.1812,0.36,0.57,1.51,tt1920986,2010,26-Nov-10,Action | Crime | Drama,K.C. Bokadia (dialogue) | K.C. Bokadia,Beena Banerjee | Sunny Deol | Farida Jalal | Raza Murad,K.C. Bokadia,0,1
166,Delhi Safari,19-Oct-12,0.1836,0.52224,1.28,1.53,tt1172587,2012,07-Dec-12,Animation,Nikhil Advani (screenplay) | Nikhil Advani (story) | Rahul Awate (dialogue) | Girish Dhamija (dialogue) | Girish Dhamija (screenplay) | Suresh Nair (screenplay) | Milap Zaveri (dialogue),Cary Elwes | Christopher Lloyd | Troy Baker | Tom Kenny,Nikhil Advani,0,1
211,Ekkees Toppon Ki Salaami,10-Oct-14,0.22,0.83,1.4,1.58,tt3847072,2014,10-Oct-14,Comedy,Rahil Qazi (screenplay) | Rahil Qazi (story) | Rahil Qazi,Anupam Kher | Neha Dhupia | Divyendu Sharma | Manu Rishi Chadha,Ravindra Gautam,0,1
322,John Day,13-Sep-13,0.45,1.5,1.0494,1.59,tt2699840,2013,13-Sep-13,Drama,Kartik Krishnan (dialogue) | Ahishor Solomon,Naseeruddin Shah | Randeep Hooda | Taran Bajaj | Harsh Chhaya,Ahishor Solomon,0,1
228,Gang of Ghosts,21-Mar-14,0.204,0.6324,1.55,1.7,tt3531604,2014,21-Mar-14,Comedy | Drama,N/A,Sharman Joshi | Mahie Gill | Asrani | Parambrata Chatterjee,Satish Kaushik,0,1
404,Love Breakups Zindagi,07-10-2011,0.204,0.57936,1.42,1.7,tt1877691,2011,07-Oct-11,Comedy | Drama | Romance,Sanyukta Shaikh Chawla (additional screenplay & dialogue) | Sanyukta Shaikh Chawla (screenplay) | Sahil Sangha,Zayed Khan | Dia Mirza | Cyrus Sahukar | Tisca Chopra,Sahil Sangha,0,1
539,Rajjo,15-Nov-13,0.3,0.61608,1.51,1.73,tt2438764,2013,15-Nov-13,Drama | Romance,Vishwas Patil,Kangana Ranaut | Prakash Raj | Mahesh Manjrekar | Paras Arora,Vishwas Patil,0,1
672,Waah! Tera Kya Kehna,01-11-2002,0.25,0.71,1.09,1.8,tt0339878,2002,01-Nov-02,Comedy,Rajeev Kaul,Govinda | Raveena Tandon | Preeti Jhangiani | Shakti Kapoor,Manoj Agrawal,0,1
673,Waah! Tera Kya Kehna,01-Nov-02,0.25,0.71,1.09,1.8,tt0339878,2002,01-Nov-02,Comedy,Rajeev Kaul,Govinda | Raveena Tandon | Preeti Jhangiani | Shakti Kapoor,Manoj Agrawal,0,1
460,My Friend Pinto,14-10-2011,0.2292,0.5916,1.45,1.91,tt1512220,2011,21-Oct-11,Comedy | Crime | Drama,Raaghav Dar (story) | Arun Sukumar (story),Prateik | Kalki Koechlin | Arjun Mathur | Shruti Seth,Raaghav Dar,0,1
303,Ittefaq,14-Sep-01,0.36,0.93,1.46,1.92,tt0297983,2001,14-Sep-01,Action | Drama | Thriller,Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics),Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna,0,1
621,Tathastu,12-May-06,0.43,1.15,1.65,1.94,tt0444915,2006,N/A,Drama,N/A,Sanjay Dutt | Ameesha Patel | Jayapradha | Gulshan Grover,Anubhav Sinha,0,1
574,Satya 2,08-Nov-13,0.45,1.2,1.88,1.98,tt3059106,2013,08-Nov-13,Crime,Radhika Anand | Kary Arora (lyrics) | Meeraqh (Telugu Dialogue Writer),Puneet Singh Ratn | Sharvanand | Anaika Soti | Mahesh Thakur,Ram Gopal Varma,1,1
581,Shagird,13-05-2011,0.2484,0.74256,1.82,2.07,tt1828289,2011,13-May-11,Action | Crime | Drama,Tigmanshu Dhulia (story) | Tigmanshu Dhulia | Kamal Pandey (story),Nana Patekar | Mohit Ahlawat | Rimi Sen | Anurag Kashyap,Tigmanshu Dhulia,0,1
97,Bittoo Boss,13-Apr-12,0.4,1.3,1.9,2.12,tt2347289,2012,13-Apr-12,Romance,Supavitra Babul | Gautam Mehra,Pulkit Samrat | Rajesh Bakshi | Wamiqa Gabbi | Amita Pathak,Supavitra Babul,0,1
375,Kuku Mathur Ki Jhand Ho Gayi,30-May-14,0.33,1.32,2.07,2.15,tt2998196,2014,30-May-14,Comedy | Romance,N/A,Siddharth Gupta | Simran Kaur Mundi | Pallavi Batra | Roopa Ganguly,Aman Sachdeva,0,1
365,Koyelaanchal,09-May-14,0.45,1.42,2.15,2.25,tt3640942,2014,09-May-14,Action | Drama,Vishal Vijay Kumar | Sanjay Masoom,Kannan Arunachalam | Vinod Khanna | Roopali Krishnarao | Sunil Shetty,Ashu Trikha,0,1
28,Aazaan,14-10-2011,0.2772,0.68136,1.67,2.31,tt2033947,2011,14-Oct-11,Action | Drama | Mystery,Prashant Chadha (story) | Heeraz Marfatia (story) | Shubhra Swarup (story),Sachiin Joshi | Candice Boucher | Arya Babbar | Samy Gharbi,Prashant Chadha,0,1
182,Dil Diya Hai,08-Sep-06,0.51,1.44,2.06,2.31,tt0814082,2006,08-Sep-06,Drama | Romance | Thriller,Mudassar Aziz (screenplay) | Aditya Datt | Vinay Mudgil (screenplay) | Neeraj Pathak (screenplay) | Sameer (lyrics),Emraan Hashmi | Ashmit Patel | Geeta Basra | Mithun Chakraborty,Aditya Datt,0,1
284,Hum Tum Shabana,30-09-2011,0.2808,1.2,1.9,2.34,tt2034011,2011,30-Sep-11,Comedy | Crime | Drama,Sagar Ballary (additional screenplay) | Sharat Katariya (dialogue) | Farhajaan Sheikh (story),Tusshar Kapoor | Shreyas Talpade | Minissha Lamba | Mantra,Sagar Ballary,0,1
187,Dil Vil Pyar Vyar,18-10-2002,0.32,1,1.58,2.37,tt0335044,2002,18-Oct-02,Romance,Sanjeev Puri (dialogue) | Sujit Sen (screenplay) | Vivek Vaswani (story),Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar,Anant Mahadevan,0,2
188,Dil Vil Pyar Vyar,18-Oct-02,0.32,1,1.58,2.37,tt0335044,2002,18-Oct-02,Romance,Sanjeev Puri (dialogue) | Sujit Sen (screenplay) | Vivek Vaswani (story),Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar,Anant Mahadevan,0,2
439,Mere Jeevan Saathi,03-Feb-06,0.4,1.13,1.69,2.42,tt0418880,2006,03-Feb-06,Music | Romance,Suneel Darshan (story) | Robin Bhatt (screenplay) | K.K. Singh (dialogue) | Ravi Shankar Jaiswal (additional dialogue),Akshay Kumar | Karisma Kapoor | Ameesha Patel | Gulshan Grover,Suneel Darshan,0,1
587,Shiva,15-Sep-06,0.56,1.52,2.18,2.44,tt0831816,2006,15-Sep-06,Action | Crime | Drama,Farhad Bhiwandiwala | Dev Kohli (lyrics) | Nitin Raikwar (lyrics) | Sajid,Mohit Ahlawat | Priyanka Kothari | Vinod Jaywant | Nagesh Bhonsle,Ram Gopal Varma,0,1
503,Phas Gaye Re Obama,03-12-2010,0.22,1.2,2.05,2.45,tt1773015,2010,03-Dec-10,Comedy | Crime,Subhash Kapoor | Shellee (lyrics) | Gopal Tiwari (lyrics),Rajat Kapoor | Neha Dhupia | Sanjay Mishra | Manu Rishi Chadha,Subhash Kapoor,0,2
140,Click,19-02-2010,0.2952,0.6624288,1.6236,2.46,tt1596723,2010,19-Feb-10,Drama | Fantasy | Mystery,Sameer Arora (dialogue) | Vivek Buddhakoti (dialogue) | Harish Nayar (story),Shreyas Talpade | Sada | Sneha Ullal | Rehan Khan,Sangeeth Sivan,0,1
395,Lekar Hum Deewana Dil,04-Jul-14,0.5,1.6,2.4,2.49,tt3716142,2014,04-Jul-14,Comedy | Romance,Arif Ali,Armaan Jain | Deeksha Seth | Nikita Dutta | Rohini Hattangadi,Arif Ali,0,1
505,Phhir,12-08-2011,0.3,0.77928,1.91,2.5,tt2023645,2011,12-Aug-11,Drama | Mystery | Romance,Vikram Bhatt | Girish Dhamija | Dheeraj Rattan (screenplay),Mohan Agashe | Kasturi Banerjee | Roshni Chopra | Rajneesh Duggal,Girish Dhamija,0,1
507,Phir Milenge,27-Aug-04,0.27,0.88,1.47,2.5,tt0422950,2004,13-Aug-04,Drama,Atul Sabharwal (screenplay),Salman Khan | Abhishek Bachchan | Shilpa Shetty | Mita Vasisht,Revathy,0,1
326,Jumbo,25-Dec-08,0.33,1.16,1.66,2.53,tt1334413,2008,25-Dec-08,Animation | Family,N/A,Akshay Kumar | Lara Dutta | Dimple Kapadia | Rajpal Yadav,Kompin Kemgumnird,0,1
23,Aashayein,27-08-2010,0.3048,1.25,2.05,2.54,tt1227524,2010,27-Aug-10,Comedy | Drama,Nagesh Kukunoor,John Abraham | Anaitha Nair | Girish Karnad | Farida Jalal,Nagesh Kukunoor,0,1
536,Raincoat,24-Dec-04,0.29,0.98,1.59,2.54,tt0405266,2004,24-Dec-04,Drama | Romance,"Rituparno Ghosh (original dialogue) | O. Henry (adapted from the story ""Gift of Magi"")",Ajay Devgn | Aishwarya Rai Bachchan | Annu Kapoor | Mouli Ganguly,Rituparno Ghosh,0,1
117,Chaalis Chauraasi,13-Jan-12,0.3096,0.816,2,2.58,tt2184125,2012,13-Jan-12,Comedy | Crime,N/A,Shweta Bhardwaj | Reetu Jain | Arbaaz Ali Khan | Ravi Kishan,Hriday Shetty,0,1
269,Help,13-08-2010,0.3096,1.34,2.36,2.58,tt1663647,2010,13-Aug-10,Drama | Horror | Thriller,Viddesh Malandkar (dialogue) | Viddesh Malandkar (screenplay) | Manthan (lyrics) | Deepak Pawar (dialogue) | Deepak Pawar (screenplay),Bobby Deol | Mugdha Godse | Shreyas Talpade | Sophie Handa,Rajeev Virani,0,1
